[0921/154212:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0921/154630:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0921/154954:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0921/161152:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0921/161909:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0921/162411:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0921/162952:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0921/163308:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0921/163822:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0921/164432:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0921/164904:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0921/165259:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0921/165802:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0921/170247:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0921/170603:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0921/171008:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0921/171347:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0921/171652:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0921/172138:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0921/173309:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0921/173724:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0921/174056:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0921/174556:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0921/174929:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0921/175414:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0921/180105:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0921/180412:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0921/180818:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0921/181420:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0921/182257:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0921/183037:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0921/183345:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0921/185643:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0921/190234:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0921/190625:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0921/191201:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0921/191510:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0921/191605:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0921/192548:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0921/192949:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0921/193243:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0921/193742:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0921/194140:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0922/105757:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0922/110707:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0922/111530:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0922/111916:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0922/112209:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0922/113238:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0922/113652:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0922/113928:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0922/115137:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0922/115442:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0922/115755:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0922/120002:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0922/120309:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0922/120913:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0922/121433:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0922/121853:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0922/122254:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0922/122542:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0922/122942:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0922/123122:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0922/123322:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0922/124632:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0922/125730:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0922/130234:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0922/140150:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0922/140454:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0922/140904:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0922/141830:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0922/142415:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0922/143215:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0922/143509:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0922/143638:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0922/143911:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0922/144029:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0922/144152:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0922/145313:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0922/145525:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0922/150105:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0922/150431:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0922/150838:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0922/154528:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0927/112358:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0927/112605:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0927/113141:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0927/113429:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0927/114009:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0927/114605:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0927/115613:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0927/115828:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0927/120438:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0927/120832:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0927/121540:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0927/122231:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0927/123032:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0927/123743:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0927/124244:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0927/125233:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0927/125930:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0927/131416:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0927/132108:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0927/132701:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0927/140125:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0928/124920:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0928/155259:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0928/160449:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0928/160904:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0928/170851:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0928/173807:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0928/180631:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0928/181152:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0928/181855:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0928/182520:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0928/183814:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1101/183835:ERROR:file_io.cc(30)] read: expected 4, observed 0
